SeneddConstituencyCode,SeneddRegionCode,SeneddConstituencyName,SeneddConstituencyNameWelsh,SeneddConstituencyNameEnglish,SeneddRegionName,SeneddRegionNameWelsh
W09000015,W10000006,Carmarthen East and Dinefwr,Dwyrain Caerfyrddin a Dinefwr,Carmarthen East and Dinefwr,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000047,W10000007,Vale of Glamorgan,Bro Morgannwg,Vale of Glamorgan,South Wales Central,Canol De Cymru
W09000014,W10000006,Preseli Pembrokeshire,Preseli Sir Benfro,Preseli Pembrokeshire,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000017,W10000006,Llanelli,Llanelli,Llanelli,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000016,W10000006,Carmarthen West and South Pembrokeshire,Gorllewin Caerfyrddin a De Sir Benfro,Carmarthen West and South Pembrokeshire,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000018,W10000009,Gower,Gŵyr,Gower,South Wales West,Gorllewin De Cymru
W09000037,W10000008,Torfaen,Torfaen,Torfaen,South Wales East,Dwyrain De Cymru
W09000036,W10000008,Islwyn,Islwyn,Islwyn,South Wales East,Dwyrain De Cymru
W09000035,W10000008,Caerphilly,Caerffili,Caerphilly,South Wales East,Dwyrain De Cymru
W09000038,W10000008,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,South Wales East,Dwyrain De Cymru
W09000039,W10000008,Newport West,Gorllewin Casnewydd,Newport West,South Wales East,Dwyrain De Cymru
W09000040,W10000008,Newport East,Dwyrain Casnewydd,Newport East,South Wales East,Dwyrain De Cymru
W09000002,W10000001,Arfon,Arfon,Arfon,North Wales,Gogledd Cymru
W09000001,W10000001,Ynys Môn,Ynys Môn,Isle of Anglesey,North Wales,Gogledd Cymru
W09000003,W10000001,Aberconwy,Aberconwy,Aberconwy,North Wales,Gogledd Cymru
W09000004,W10000001,Clwyd West,Gorllewin Clwyd,Clwyd West,North Wales,Gogledd Cymru
W09000006,W10000001,Delyn,Delyn,Delyn,North Wales,Gogledd Cymru
W09000005,W10000001,Vale of Clwyd,Dyffryn Clwyd,Vale of Clwyd,North Wales,Gogledd Cymru
W09000023,W10000009,Bridgend,Pen-y-bont ar Ogwr,Bridgend,South Wales West,Gorllewin De Cymru
W09000022,W10000009,Aberavon,Aberafan,Aberavon,South Wales West,Gorllewin De Cymru
W09000025,W10000007,Rhondda,Rhondda,Rhondda,South Wales Central,Canol De Cymru
W09000026,W10000007,Cynon Valley,Cwm Cynon,Cynon Valley,South Wales Central,Canol De Cymru
W09000029,W10000007,Cardiff West,Gorllewin Caerdydd,Cardiff West,South Wales Central,Canol De Cymru
W09000019,W10000009,Swansea West,Gorllewin Abertawe,Swansea West,South Wales West,Gorllewin De Cymru
W09000020,W10000009,Swansea East,Dwyrain Abertawe,Swansea East,South Wales West,Gorllewin De Cymru
W09000021,W10000009,Neath,Castell-nedd,Neath,South Wales West,Gorllewin De Cymru
W09000042,W10000007,Cardiff North,Gogledd Caerdydd,Cardiff North,South Wales Central,Canol De Cymru
W09000041,W10000006,Brecon and Radnorshire,Brycheiniog a Sir Faesyfed,Brecon and Radnorshire,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000043,W10000007,Cardiff South and Penarth,De Caerdydd a Phenarth,Cardiff South and Penarth,South Wales Central,Canol De Cymru
W09000044,W10000008,Merthyr Tydfil and Rhymney,Merthyr Tudful a Rhymni,Merthyr Tydfil and Rhymney,South Wales East,Dwyrain De Cymru
W09000045,W10000009,Ogmore,Ogwr,Ogmore,South Wales West,Gorllewin De Cymru
W09000046,W10000007,Pontypridd,Pontypridd,Pontypridd,South Wales Central,Canol De Cymru
W09000007,W10000001,Alyn and Deeside,Alun a Glannau Dyfrdwy,Alyn and Deeside,North Wales,Gogledd Cymru
W09000008,W10000001,Wrexham,Wrecsam,Wrexham,North Wales,Gogledd Cymru
W09000009,W10000001,Clwyd South,De Clwyd,Clwyd South,North Wales,Gogledd Cymru
W09000031,W10000007,Cardiff Central,Canol Caerdydd,Cardiff Central,South Wales Central,Canol De Cymru
W09000034,W10000008,Monmouth,Sir Fynwy,Monmouth,South Wales East,Dwyrain De Cymru
W09000010,W10000006,Dwyfor Meirionnydd,Dwyfor Meirionnydd,Dwyfor Meirionnydd,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000011,W10000006,Montgomeryshire,Sir Drefaldwyn,Montgomeryshire,Mid and West Wales,Canolbarth a Gorllewin Cymru
W09000012,W10000006,Ceredigion,Ceredigion,Ceredigion,Mid and West Wales,Canolbarth a Gorllewin Cymru
